"","miRNA","GeneID","CCR","mRNA.clone.number","cluster.name","X3.UTR","CDS","X5.UTR","EXONIC","INTRONIC","G.1.Fraction","G.1.Freq","T2C.Fraction","T2C.Freq","T2C.and.G.1.Fraction","T2C.and.G.1.Freq","X.T2C.positions"
"1655","hsa-miR-196a","PSMG2","slc224_chr18",6,"slc224_chr18",NA,NA,NA,0.06,0.94,1,6,1,6,1,6,3
"1656","hsa-miR-106b","PSMG2","slc224_chr18",6,"slc224_chr18",NA,NA,NA,0.06,0.94,1,6,1,6,1,6,3
"1657","hsa-miR-17","PSMG2","slc224_chr18",6,"slc224_chr18",NA,NA,NA,0.06,0.94,1,6,1,6,1,6,3
"1658","hsa-miR-93","PSMG2","slc224_chr18",6,"slc224_chr18",NA,NA,NA,0.06,0.94,1,6,1,6,1,6,3
"1659","hsa-miR-141","BPTF","slc2255_chr17",5,"slc2255_chr17",1,0,0,1,0,1,5,1,5,1,5,1
"1660","hsa-miR-200a","BPTF","slc2255_chr17",5,"slc2255_chr17",1,0,0,1,0,1,5,1,5,1,5,1
"1661","hsa-miR-106b","TANC1","slc2257_chr2",8,"slc2257_chr2",1,0,0,1,0,0,0,0.75,6,0,0,3
"1662","hsa-miR-17","TANC1","slc2257_chr2",8,"slc2257_chr2",1,0,0,1,0,0,0,0.75,6,0,0,3
"1663","hsa-miR-93","TANC1","slc2257_chr2",8,"slc2257_chr2",1,0,0,1,0,0,0,0.75,6,0,0,3
"1664","hsa-miR-103","ACIN1","slc2258_chr14",5,"slc2258_chr14",0,1,0,1,0,1,5,1,5,1,5,2
"1665","hsa-miR-107","ACIN1","slc2258_chr14",5,"slc2258_chr14",0,1,0,1,0,1,5,1,5,1,5,2
"1666","hsa-let-7a","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1667","hsa-let-7b","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1668","hsa-let-7c","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1669","hsa-let-7d","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1670","hsa-let-7e","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1671","hsa-let-7f","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1672","hsa-let-7g","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1673","hsa-let-7i","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1674","hsa-miR-98","MTUS1","slc2263_chr8",25,"slc2263_chr8",1,0,0,1,0,0.72,18,0.84,21,0.72,18,3
"1675","hsa-let-7a","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1676","hsa-let-7b","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1677","hsa-let-7c","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1678","hsa-let-7d","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1679","hsa-let-7e","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1680","hsa-let-7f","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1681","hsa-let-7g","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1682","hsa-let-7i","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1683","hsa-miR-98","HOMEZ","slc2264_chr14",9,"slc2264_chr14",0,1,0,1,0,0.889,8,0.222,2,0.111,1,2
"1684","hsa-miR-106b","PSMG2","slc226_chr18",8,"slc226_chr18",0,1,0,1,0,1,8,0.875,7,0.875,7,1
"1685","hsa-miR-17","PSMG2","slc226_chr18",8,"slc226_chr18",0,1,0,1,0,1,8,0.875,7,0.875,7,1
"1686","hsa-miR-93","PSMG2","slc226_chr18",8,"slc226_chr18",0,1,0,1,0,1,8,0.875,7,0.875,7,1
"1687","hsa-miR-7","PSMG2","slc226_chr18",8,"slc226_chr18",0,1,0,1,0,1,8,0.875,7,0.875,7,1
"1688","hsa-miR-33a","KIAA0182","slc2276_chr16",6,"slc2276_chr16",1,0,0,1,0,0.5,3,0.5,3,0.5,3,1
"1689","hsa-miR-106b","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1690","hsa-miR-17","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1691","hsa-miR-93","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1692","hsa-miR-301a","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1693","hsa-miR-19a","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1694","hsa-miR-19b","NFIB","slc2278_chr9",16,"slc2278_chr9",1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
"1695","hsa-miR-7","POMP","slc227_chr13",9,"slc227_chr13",0,1,0,1,0,0.778,7,0.778,7,0.556,5,4
"1696","hsa-miR-141","MBNL1","slc2290_chr3",141,"slc2290_chr3",1,0,0,1,0,0.872,123,0.965,136,0.837,118,8
"1697","hsa-miR-200a","MBNL1","slc2290_chr3",141,"slc2290_chr3",1,0,0,1,0,0.872,123,0.965,136,0.837,118,8
"1698","hsa-miR-103","HIPK1","slc2296_chr1",20,"slc2296_chr1",0,1,0,1,0,0.95,19,0.95,19,0.9,18,3
"1699","hsa-miR-107","HIPK1","slc2296_chr1",20,"slc2296_chr1",0,1,0,1,0,0.95,19,0.95,19,0.9,18,3
"1700","hsa-miR-21","MBNL1","slc2297_chr3",7,"slc2297_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"1701","hsa-miR-181a","KIAA0182","slc2298_chr16",11,"slc2298_chr16",1,0,0,1,0,1,11,1,11,1,11,4
"1702","hsa-miR-181b","KIAA0182","slc2298_chr16",11,"slc2298_chr16",1,0,0,1,0,1,11,1,11,1,11,4
"1703","hsa-miR-200b","BLCAP","slc2298_chr20",57,"slc2298_chr20",1,0,0,1,0,0.702,40,0.772,44,0.596,34,7
"1704","hsa-miR-200c","BLCAP","slc2298_chr20",57,"slc2298_chr20",1,0,0,1,0,0.702,40,0.772,44,0.596,34,7
"1705","hsa-miR-181a","ESR1","slc2298_chr6",5,"slc2298_chr6",1,0,0,0.92,0.08,0.8,4,0.8,4,0.6,3,2
"1706","hsa-miR-181b","ESR1","slc2298_chr6",5,"slc2298_chr6",1,0,0,0.92,0.08,0.8,4,0.8,4,0.6,3,2
"1707","hsa-miR-101","POMP","slc229_chr13",11,"slc229_chr13",0.84,0.16,0,1,0,0.909,10,0.909,10,0.818,9,2
"1708","hsa-miR-301a","BLCAP","slc2300_chr20",31,"slc2300_chr20",1,0,0,1,0,0.871,27,0.839,26,0.71,22,5
"1709","hsa-miR-19a","BLCAP","slc2300_chr20",31,"slc2300_chr20",1,0,0,1,0,0.871,27,0.839,26,0.71,22,5
"1710","hsa-miR-19b","BLCAP","slc2300_chr20",31,"slc2300_chr20",1,0,0,1,0,0.871,27,0.839,26,0.71,22,5
"1712","hsa-miR-23a","BLCAP","slc2305_chr20",27,"slc2305_chr20",1,0,0,0.94,0.06,0.963,26,0.63,17,0.593,16,3
"1713","hsa-miR-23b","BLCAP","slc2305_chr20",27,"slc2305_chr20",1,0,0,0.94,0.06,0.963,26,0.63,17,0.593,16,3
"1720","hsa-miR-301a","ESR1","slc2313_chr6",23,"slc2313_chr6",1,0,0,0.88,0.12,1,23,0.957,22,0.957,22,6
"1721","hsa-miR-19a","ESR1","slc2313_chr6",23,"slc2313_chr6",1,0,0,0.88,0.12,1,23,0.957,22,0.957,22,6
"1722","hsa-miR-19b","ESR1","slc2313_chr6",23,"slc2313_chr6",1,0,0,0.88,0.12,1,23,0.957,22,0.957,22,6
"1723","hsa-miR-320a","HIPK1","slc2315_chr1",6,"slc2315_chr1",0,1,0,1,0,1,6,1,6,1,6,1
"1724","hsa-miR-16","TM9SF1","slc2317_chr14",7,"slc2317_chr14",0,1,0,1,0,1,7,0.429,3,0.429,3,2
"1725","hsa-miR-424","TM9SF1","slc2317_chr14",7,"slc2317_chr14",0,1,0,1,0,1,7,0.429,3,0.429,3,2
"1726","hsa-miR-30a","KIAA0406","slc2318_chr20",9,"slc2318_chr20",0,1,0,1,0,0.889,8,1,9,0.889,8,2
"1727","hsa-miR-30b","KIAA0406","slc2318_chr20",9,"slc2318_chr20",0,1,0,1,0,0.889,8,1,9,0.889,8,2
"1728","hsa-miR-30c","KIAA0406","slc2318_chr20",9,"slc2318_chr20",0,1,0,1,0,0.889,8,1,9,0.889,8,2
"1729","hsa-miR-30d","KIAA0406","slc2318_chr20",9,"slc2318_chr20",0,1,0,1,0,0.889,8,1,9,0.889,8,2
"1730","hsa-miR-30e","KIAA0406","slc2318_chr20",9,"slc2318_chr20",0,1,0,1,0,0.889,8,1,9,0.889,8,2
"1732","hsa-miR-30a","RAP2B","slc2320_chr3",11,"slc2320_chr3",1,0,0,1,0,0.727,8,0.909,10,0.727,8,4
"1733","hsa-miR-30b","RAP2B","slc2320_chr3",11,"slc2320_chr3",1,0,0,1,0,0.727,8,0.909,10,0.727,8,4
"1734","hsa-miR-30c","RAP2B","slc2320_chr3",11,"slc2320_chr3",1,0,0,1,0,0.727,8,0.909,10,0.727,8,4
"1735","hsa-miR-30d","RAP2B","slc2320_chr3",11,"slc2320_chr3",1,0,0,1,0,0.727,8,0.909,10,0.727,8,4
"1736","hsa-miR-30e","RAP2B","slc2320_chr3",11,"slc2320_chr3",1,0,0,1,0,0.727,8,0.909,10,0.727,8,4
"1737","hsa-miR-7","CHMP4A","slc2322_chr14",12,"slc2322_chr14",1,0,0,0.92,0.08,0.917,11,0.917,11,0.917,11,1
"1738","hsa-miR-301a","UBN2","slc2323_chr7",5,"slc2323_chr7",1,0,0,0.75,0.25,1,5,0.6,3,0.6,3,2
"1739","hsa-miR-19a","UBN2","slc2323_chr7",5,"slc2323_chr7",1,0,0,0.75,0.25,1,5,0.6,3,0.6,3,2
"1740","hsa-miR-19b","UBN2","slc2323_chr7",5,"slc2323_chr7",1,0,0,0.75,0.25,1,5,0.6,3,0.6,3,2
"1741","hsa-miR-200b","UBN2","slc2325_chr7",11,"slc2325_chr7",1,0,0,0.75,0.25,1,11,0.909,10,0.909,10,2
"1742","hsa-miR-200c","UBN2","slc2325_chr7",11,"slc2325_chr7",1,0,0,0.75,0.25,1,11,0.909,10,0.909,10,2
"1743","hsa-miR-7","CNOT8","slc2328_chr5",5,"slc2328_chr5",1,0,0,1,0,1,5,0.6,3,0.6,3,2
"1744","hsa-miR-16","UBN2","slc2328_chr7",150,"slc2328_chr7",1,0,0,0.75,0.25,0.9,135,0.98,147,0.88,132,8
"1745","hsa-miR-424","UBN2","slc2328_chr7",150,"slc2328_chr7",1,0,0,0.75,0.25,0.9,135,0.98,147,0.88,132,8
"1746","hsa-miR-193a-3p","C5orf22","slc232_chr5",36,"slc232_chr5",1,0,0,1,0,0.972,35,0.944,34,0.917,33,3
"1747","hsa-miR-193b","C5orf22","slc232_chr5",36,"slc232_chr5",1,0,0,1,0,0.972,35,0.944,34,0.917,33,3
"1748","hsa-miR-23a","BOD1L","slc2336_chr4",10,"slc2336_chr4",1,0,0,1,0,1,10,1,10,1,10,2
"1749","hsa-miR-23b","BOD1L","slc2336_chr4",10,"slc2336_chr4",1,0,0,1,0,1,10,1,10,1,10,2
"1750","hsa-miR-101","UBN2","slc2337_chr7",45,"slc2337_chr7",1,0,0,0.5,0.5,0.867,39,0.933,42,0.8,36,3
"1751","hsa-let-7a","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1752","hsa-let-7b","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1753","hsa-let-7c","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1754","hsa-let-7d","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1755","hsa-let-7e","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1756","hsa-let-7f","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1757","hsa-let-7g","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1758","hsa-let-7i","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1759","hsa-miR-98","SLC9A3R1","slc2338_chr17",5,"slc2338_chr17",0,1,0,1,0,1,5,1,5,1,5,1
"1760","hsa-miR-106b","TNFRSF10B","slc2340_chr8",8,"slc2340_chr8",1,0,0,1,0,0.75,6,1,8,0.75,6,6
"1761","hsa-miR-17","TNFRSF10B","slc2340_chr8",8,"slc2340_chr8",1,0,0,1,0,0.75,6,1,8,0.75,6,6
"1762","hsa-miR-93","TNFRSF10B","slc2340_chr8",8,"slc2340_chr8",1,0,0,1,0,0.75,6,1,8,0.75,6,6
"1763","hsa-miR-301a","PAFAH1B2","slc2342_chr11",5,"slc2342_chr11",1,0,0,0.4,0.6,1,5,0.8,4,0.8,4,1
"1764","hsa-miR-19a","PAFAH1B2","slc2342_chr11",5,"slc2342_chr11",1,0,0,0.4,0.6,1,5,0.8,4,0.8,4,1
"1765","hsa-miR-19b","PAFAH1B2","slc2342_chr11",5,"slc2342_chr11",1,0,0,0.4,0.6,1,5,0.8,4,0.8,4,1
"1766","hsa-miR-374a","HIPK1","slc2343_chr1",13,"slc2343_chr1",1,0,0,1,0,0.769,10,1,13,0.769,10,1
"1767","hsa-miR-374b","HIPK1","slc2343_chr1",13,"slc2343_chr1",1,0,0,1,0,0.769,10,1,13,0.769,10,1
"1768","hsa-miR-22","HIPK1","slc2345_chr1",5,"slc2345_chr1",1,0,0,1,0,1,5,1,5,1,5,3
"1769","hsa-miR-30a","RFX7","slc2347_chr15",5,"slc2347_chr15",1,0,0,0.67,0.33,0.6,3,0.6,3,0.4,2,1
"1770","hsa-miR-30b","RFX7","slc2347_chr15",5,"slc2347_chr15",1,0,0,0.67,0.33,0.6,3,0.6,3,0.4,2,1
"1771","hsa-miR-30c","RFX7","slc2347_chr15",5,"slc2347_chr15",1,0,0,0.67,0.33,0.6,3,0.6,3,0.4,2,1
"1772","hsa-miR-30d","RFX7","slc2347_chr15",5,"slc2347_chr15",1,0,0,0.67,0.33,0.6,3,0.6,3,0.4,2,1
"1773","hsa-miR-30e","RFX7","slc2347_chr15",5,"slc2347_chr15",1,0,0,0.67,0.33,0.6,3,0.6,3,0.4,2,1
"1774","hsa-miR-141","SIDT2","slc2348_chr11",7,"slc2348_chr11",1,0,0,1,0,1,7,1,7,1,7,2
"1775","hsa-miR-200a","SIDT2","slc2348_chr11",7,"slc2348_chr11",1,0,0,1,0,1,7,1,7,1,7,2
"1776","hsa-miR-16","SIDT2","slc2348_chr11",7,"slc2348_chr11",1,0,0,1,0,1,7,1,7,1,7,2
"1777","hsa-miR-424","SIDT2","slc2348_chr11",7,"slc2348_chr11",1,0,0,1,0,1,7,1,7,1,7,2
"1778","hsa-miR-30a","RFX7","slc2350_chr15",7,"slc2350_chr15",1,0,0,0.67,0.33,1,7,1,7,1,7,2
"1779","hsa-miR-30b","RFX7","slc2350_chr15",7,"slc2350_chr15",1,0,0,0.67,0.33,1,7,1,7,1,7,2
"1780","hsa-miR-30c","RFX7","slc2350_chr15",7,"slc2350_chr15",1,0,0,0.67,0.33,1,7,1,7,1,7,2
"1781","hsa-miR-30d","RFX7","slc2350_chr15",7,"slc2350_chr15",1,0,0,0.67,0.33,1,7,1,7,1,7,2
"1782","hsa-miR-30e","RFX7","slc2350_chr15",7,"slc2350_chr15",1,0,0,0.67,0.33,1,7,1,7,1,7,2
"1783","hsa-miR-106b","FBXL5","slc2354_chr4",696,"slc2354_chr4",1,0,0,1,0,0.941,655,0.95,661,0.898,625,9
"1784","hsa-miR-17","FBXL5","slc2354_chr4",696,"slc2354_chr4",1,0,0,1,0,0.941,655,0.95,661,0.898,625,9
"1785","hsa-miR-93","FBXL5","slc2354_chr4",696,"slc2354_chr4",1,0,0,1,0,0.941,655,0.95,661,0.898,625,9
"1786","hsa-miR-27a","FBXL5","slc2358_chr4",110,"slc2358_chr4",0,1,0,1,0,0.927,102,1,110,0.927,102,5
"1787","hsa-miR-27b","FBXL5","slc2358_chr4",110,"slc2358_chr4",0,1,0,1,0,0.927,102,1,110,0.927,102,5
"1788","hsa-miR-186","HIPK1","slc2359_chr1",15,"slc2359_chr1",1,0,0,1,0,0.933,14,1,15,0.933,14,3
"1789","hsa-miR-25","HIPK1","slc2359_chr1",15,"slc2359_chr1",1,0,0,1,0,0.933,14,1,15,0.933,14,3
"1792","hsa-miR-182","HIPK1","slc2365_chr1",7,"slc2365_chr1",1,0,0,1,0,0.714,5,0.857,6,0.714,5,1
"1793","hsa-miR-21","RFX7","slc2369_chr15",5,"slc2369_chr15",0,1,0,1,0,1,5,1,5,1,5,2
"1794","hsa-miR-320a","KCTD2","slc2371_chr17",5,"slc2371_chr17",1,0,0,1,0,0.8,4,0.8,4,0.8,4,3
"1795","hsa-miR-141","LASS6","slc2372_chr2",8,"slc2372_chr2",1,0,0,1,0,1,8,1,8,1,8,4
"1796","hsa-miR-200a","LASS6","slc2372_chr2",8,"slc2372_chr2",1,0,0,1,0,1,8,1,8,1,8,4
"1797","hsa-miR-200b","HIPK1","slc2374_chr1",39,"slc2374_chr1",1,0,0,1,0,0.974,38,0.949,37,0.949,37,3
"1798","hsa-miR-200c","HIPK1","slc2374_chr1",39,"slc2374_chr1",1,0,0,1,0,0.974,38,0.949,37,0.949,37,3
"1801","hsa-miR-183","OAS3","slc2383_chr12",5,"slc2383_chr12",1,0,0,1,0,1,5,0.6,3,0.6,3,1
"1802","hsa-miR-25","VANGL1","slc2387_chr1",380,"slc2387_chr1",0,1,0,1,0,0.942,358,0.966,367,0.908,345,2
"1803","hsa-let-7a","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1804","hsa-let-7b","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1805","hsa-let-7c","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1806","hsa-let-7d","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1807","hsa-let-7e","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1808","hsa-let-7f","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1809","hsa-let-7g","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1810","hsa-let-7i","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1811","hsa-miR-98","RFX7","slc2389_chr15",5,"slc2389_chr15",0,0.33,0.67,1,0,1,5,0.8,4,0.8,4,3
"1812","hsa-miR-26a","WEE1","slc238_chr11",7,"slc238_chr11",1,0,0,1,0,1,7,1,7,1,7,4
"1813","hsa-miR-26b","WEE1","slc238_chr11",7,"slc238_chr11",1,0,0,1,0,1,7,1,7,1,7,4
"1814","hsa-miR-148a","KIAA0232","slc238_chr4",6,"slc238_chr4",1,0,0,1,0,0.833,5,1,6,0.833,5,2
"1815","hsa-miR-21","GLCCI1","slc238_chr7",11,"slc238_chr7",1,0,0,1,0,1,11,1,11,1,11,4
"1820","hsa-let-7a","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1821","hsa-let-7b","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1822","hsa-let-7c","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1823","hsa-let-7d","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1824","hsa-let-7e","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1825","hsa-let-7f","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1826","hsa-let-7g","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1827","hsa-let-7i","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1828","hsa-miR-98","TRIP13","slc23_chr5",11,"slc23_chr5",0,1,0,0.88,0.12,0.909,10,1,11,0.909,10,2
"1829","hsa-miR-181a","KIAA0195","slc2400_chr17",14,"slc2400_chr17",1,0,0,1,0,0.714,10,1,14,0.714,10,3
"1830","hsa-miR-181b","KIAA0195","slc2400_chr17",14,"slc2400_chr17",1,0,0,1,0,0.714,10,1,14,0.714,10,3
"1831","hsa-miR-203","HECTD1","slc2401_chr14",10,"slc2401_chr14",1,0,0,1,0,0.8,8,0.8,8,0.6,6,5
"1834","hsa-miR-16","C9orf82","slc2401_chr9",8,"slc2401_chr9",1,0,0,1,0,0.5,4,0.875,7,0.375,3,1
"1835","hsa-miR-424","C9orf82","slc2401_chr9",8,"slc2401_chr9",1,0,0,1,0,0.5,4,0.875,7,0.375,3,1
"1836","hsa-miR-200b","KLF6","slc2408_chr10",24,"slc2408_chr10",1,0,0,1,0,0.917,22,0.917,22,0.833,20,2
"1837","hsa-miR-200c","KLF6","slc2408_chr10",24,"slc2408_chr10",1,0,0,1,0,0.917,22,0.917,22,0.833,20,2
"1840","hsa-miR-16","LAMP2","slc2408_chrX",17,"slc2408_chrX",1,0,0,0.21,0.79,1,17,1,17,1,17,1
"1841","hsa-miR-424","LAMP2","slc2408_chrX",17,"slc2408_chrX",1,0,0,0.21,0.79,1,17,1,17,1,17,1
"1842","hsa-miR-27a","VANGL1","slc2409_chr1",43,"slc2409_chr1",1,0,0,1,0,0.791,34,0.977,42,0.791,34,2
"1843","hsa-miR-27b","VANGL1","slc2409_chr1",43,"slc2409_chr1",1,0,0,1,0,0.791,34,0.977,42,0.791,34,2
"1844","hsa-miR-203","LAMP2","slc2410_chrX",12,"slc2410_chrX",1,0,0,0.27,0.73,1,12,0.75,9,0.75,9,1
"1845","hsa-miR-200b","CASP2","slc2413_chr7",45,"slc2413_chr7",1,0,0,1,0,0.956,43,0.956,43,0.911,41,2
"1846","hsa-miR-200c","CASP2","slc2413_chr7",45,"slc2413_chr7",1,0,0,1,0,0.956,43,0.956,43,0.911,41,2
"1847","hsa-miR-196a","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1848","hsa-let-7a","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1849","hsa-let-7b","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1850","hsa-let-7c","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1851","hsa-let-7d","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1852","hsa-let-7e","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1853","hsa-let-7f","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1854","hsa-let-7g","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1855","hsa-let-7i","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1856","hsa-miR-98","HECTD1","slc2416_chr14",10,"slc2416_chr14",0,1,0,1,0,0.9,9,0.4,4,0.4,4,3
"1857","hsa-miR-26a","SLTM","slc2419_chr15",7,"slc2419_chr15",1,0,0,0.92,0.08,1,7,1,7,1,7,1
"1858","hsa-miR-26b","SLTM","slc2419_chr15",7,"slc2419_chr15",1,0,0,0.92,0.08,1,7,1,7,1,7,1
"1859","hsa-miR-141","GLCCI1","slc241_chr7",7,"slc241_chr7",1,0,0,1,0,1,7,1,7,1,7,1
"1860","hsa-miR-200a","GLCCI1","slc241_chr7",7,"slc241_chr7",1,0,0,1,0,1,7,1,7,1,7,1
"1861","hsa-miR-185","TULP4","slc2420_chr6",5,"slc2420_chr6",1,0,0,1,0,1,5,1,5,1,5,1
"1862","hsa-miR-301a","SERINC3","slc2421_chr20",27,"slc2421_chr20",1,0,0,0.75,0.25,0.963,26,0.963,26,0.926,25,4
"1863","hsa-miR-19a","SERINC3","slc2421_chr20",27,"slc2421_chr20",1,0,0,0.75,0.25,0.963,26,0.963,26,0.926,25,4
"1864","hsa-miR-19b","SERINC3","slc2421_chr20",27,"slc2421_chr20",1,0,0,0.75,0.25,0.963,26,0.963,26,0.926,25,4
"1865","hsa-miR-96","CCNG1","slc2421_chr5",21,"slc2421_chr5",1,0,0,0.86,0.14,0.714,15,0.714,15,0.524,11,2
"1866","hsa-miR-181a","CCNG1","slc2422_chr5",28,"slc2422_chr5",1,0,0,0.86,0.14,0.929,26,0.929,26,0.857,24,4
"1867","hsa-miR-181b","CCNG1","slc2422_chr5",28,"slc2422_chr5",1,0,0,0.86,0.14,0.929,26,0.929,26,0.857,24,4
"1868","hsa-miR-181a","TULP4","slc2422_chr6",5,"slc2422_chr6",1,0,0,1,0,1,5,1,5,1,5,1
"1869","hsa-miR-181b","TULP4","slc2422_chr6",5,"slc2422_chr6",1,0,0,1,0,1,5,1,5,1,5,1
"1870","hsa-miR-103","UBR3","slc2425_chr2",5,"slc2425_chr2",1,0,0,1,0,1,5,1,5,1,5,2
"1871","hsa-miR-107","UBR3","slc2425_chr2",5,"slc2425_chr2",1,0,0,1,0,1,5,1,5,1,5,2
"1872","hsa-miR-26a","UBR3","slc2425_chr2",5,"slc2425_chr2",1,0,0,1,0,1,5,1,5,1,5,2
"1873","hsa-miR-26b","UBR3","slc2425_chr2",5,"slc2425_chr2",1,0,0,1,0,1,5,1,5,1,5,2
