#Raw,mRNA clone number,cluster name,3'UTR,CDS,5'UTR,EXONIC,INTRONIC,G-1 Fraction,G-1 Freq,T2C Fraction,T2C Freq,T2C and G-1 Fraction,T2C and G-1 Freq,#T2C positions
1125,18,slc3911_chr1,NULL,NULL,NULL,0.33,0.67,1,18,0.778,14,0.778,14,3
1126,18,slc3908_chr16,1,0,0,1,0,0.778,14,1,18,0.778,14,6
1127,18,slc3898_chr14,1,0,0,1,0,0.944,17,1,18,0.944,17,2
1128,18,slc3672_chr5,0,1,0,0.71,0.29,0.944,17,1,18,0.944,17,1
1129,18,slc3501_chr19,0,1,0,0.75,0.25,1,18,0.944,17,0.944,17,3
1130,18,slc3399_chr10,NULL,NULL,NULL,0,1,0.889,16,0.944,17,0.833,15,2
1131,18,slc3302_chr5,1,0,0,1,0,0.611,11,0.833,15,0.444,8,1
1132,18,slc3265_chr7,1,0,0,1,0,0.889,16,1,18,0.889,16,1
1133,18,slc314_chr17,0,1,0,0.67,0.33,0.889,16,0.556,10,0.556,10,4
1134,18,slc3110_chr16,0,1,0,NULL,NULL,0,0,0,0,0,0,0
1135,18,slc3067_chr17,1,0,0,0.8,0.2,0.944,17,0.944,17,0.889,16,3
1136,18,slc3037_chr10,0.75,0.25,0,1,0,1,18,0.889,16,0.889,16,1
1137,18,slc2940_chr5,1,0,0,1,0,0.5,9,0.722,13,0.389,7,6
1138,18,slc2841_chr14,1,0,0,1,0,1,18,1,18,1,18,2
1139,18,slc2783_chr15,1,0,0,1,0,0.556,10,0.833,15,0.444,8,3
1140,18,slc2757_chr5,1,0,0,1,0,1,18,0.889,16,0.889,16,1
1141,18,slc2722_chr17,0,1,0,1,0,1,18,1,18,1,18,1
1142,18,slc2709_chr2,1,0,0,1,0,1,18,1,18,1,18,3
1143,18,slc2689_chr2,1,0,0,1,0,1,18,0.944,17,0.944,17,1
1144,18,slc2677_chr8,NULL,NULL,NULL,0,1,1,18,1,18,1,18,3
1145,18,slc2677_chr10,1,0,0,1,0,0.889,16,0.833,15,0.778,14,2
1146,18,slc267_chrX,1,0,0,1,0,0.889,16,0.889,16,0.778,14,2
1147,18,slc2627_chr16,1,0,0,1,0,0.778,14,0.944,17,0.722,13,1
1148,18,slc2577_chr2,0,1,0,1,0,1,18,0.833,15,0.833,15,1
1149,18,slc256_chr10,NULL,NULL,NULL,0,1,0.944,17,1,18,0.944,17,1
1150,18,slc2482_chr1,1,0,0,1,0,0.778,14,1,18,0.778,14,2
1151,18,slc2464_chr2,0,1,0,1,0,0.833,15,1,18,0.833,15,1
1152,18,slc2459_chr8,1,0,0,1,0,0.833,15,0.833,15,0.722,13,5
1153,18,slc2293_chr4,1,0,0,0.8,0.2,1,18,1,18,1,18,4
1154,18,slc2281_chr12,0,1,0,1,0,1,18,0.667,12,0.667,12,1
1155,18,slc210_chr7,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0
1156,18,slc209_chr6,1,0,0,1,0,1,18,1,18,1,18,2
1157,18,slc2059_chr15,1,0,0,1,0,0.944,17,0.667,12,0.611,11,5
1158,18,slc1939_chr12,0,1,0,0.93,0.07,0.667,12,0.611,11,0.444,8,3
1159,18,slc1878_chr17,1,0,0,1,0,0.944,17,1,18,0.944,17,1
1160,18,slc1874_chr12,0,1,0,1,0,1,18,0.778,14,0.778,14,6
1161,18,slc185_chr3,1,0,0,1,0,0.944,17,0.889,16,0.833,15,1
1162,18,slc1823_chr19,1,0,0,1,0,0.833,15,0.833,15,0.722,13,5
1163,18,slc1630_chr12,1,0,0,1,0,0.944,17,1,18,0.944,17,1
1164,18,slc1581_chr6,0,1,0,0.96,0.04,1,18,0.556,10,0.556,10,1
1165,18,slc1578_chr7,0,0,1,0.83,0.17,0.611,11,0.833,15,0.5,9,3
1166,18,slc1576_chr5,0,1,0,0.93,0.07,0.611,11,0.944,17,0.556,10,2
1167,18,slc1490_chr6,1,0,0,1,0,1,18,0.444,8,0.444,8,5
1168,18,slc1478_chr18,1,0,0,1,0,1,18,0.944,17,0.944,17,4
1169,18,slc1443_chr8,1,0,0,1,0,0.667,12,0.778,14,0.556,10,3
1170,18,slc1357_chr13,1,0,0,1,0,1,18,0.944,17,0.944,17,5
1171,18,slc1316_chr16,0,0,1,0,1,1,18,1,18,1,18,1
1172,18,slc127_chrM,0,1,0,1,0,0.556,10,0.278,5,0.222,4,3
1173,18,slc1058_chr19,1,0,0,0.83,0.17,0.778,14,1,18,0.778,14,2
1174,18,slc1048_chr20,0,1,0,1,0,0.944,17,0.722,13,0.667,12,6
1175,18,slc1038_chrX,1,0,0,1,0,0.944,17,0.889,16,0.833,15,3
1176,18,slc103_chrM,1,0,0,0.95,0.05,0.944,17,0.056,1,0.056,1,1
1177,17,slc99_chr13,0,1,0,1,0,1,17,0.647,11,0.647,11,5
1178,17,slc9037_chr1,1,0,0,1,0,0.941,16,0.765,13,0.706,12,7
1179,17,slc887_chr6,1,0,0,0.92,0.08,0.941,16,1,17,0.941,16,1
1180,17,slc875_chrX,0,1,0,1,0,0,0,0,0,0,0,0
1181,17,slc8242_chr1,1,0,0,1,0,0.824,14,0.529,9,0.353,6,4
1182,17,slc791_chr17,0,1,0,1,0,1,17,0.941,16,0.941,16,2
1183,17,slc785_chr15,0,1,0,1,0,0.941,16,0.941,16,0.882,15,1
1184,17,slc771_chr4,NULL,NULL,NULL,1,0,0.824,14,0.824,14,0.647,11,4
1185,17,slc7026_chr1,1,0,0,1,0,0.941,16,1,17,0.941,16,2
1186,17,slc6922_chr1,1,0,0,1,0,0.824,14,0.941,16,0.765,13,3
1187,17,slc6783_chr1,NULL,NULL,NULL,1,0,0.941,16,0.941,16,0.882,15,2
1188,17,slc648_chr2,NULL,NULL,NULL,0,1,1,17,0,0,0,0,0
1189,17,slc622_chr22,1,0,0,1,0,0.824,14,1,17,0.824,14,3
1190,17,slc617_chr5,1,0,0,1,0,0.941,16,0.941,16,0.882,15,3
1191,17,slc5999_chr1,1,0,0,1,0,0.941,16,0.647,11,0.647,11,1
1192,17,slc5911_chr1,0,1,0,1,0,0.824,14,0.824,14,0.706,12,1
1193,17,slc5023_chr2,0.8,0.2,0,0.75,0.25,0.941,16,1,17,0.941,16,1
1194,17,slc4814_chr1,NULL,NULL,NULL,0,1,0,0,0.412,7,0,0,1
1195,17,slc4760_chr11,1,0,0,1,0,1,17,0.882,15,0.882,15,2
1196,17,slc4722_chr11,NULL,NULL,NULL,0,1,1,17,0.941,16,0.941,16,1
1197,17,slc4362_chr1,1,0,0,1,0,0.941,16,0.765,13,0.765,13,3
1198,17,slc4312_chr2,1,0,0,0.97,0.03,0.588,10,0.824,14,0.529,9,4
1199,17,slc4254_chr3,NULL,NULL,NULL,0,1,0.824,14,1,17,0.824,14,2
1200,17,slc4206_chr9,NULL,NULL,NULL,0.67,0.33,1,17,0.882,15,0.882,15,3
1201,17,slc4126_chr9,1,0,0,0.89,0.11,0.941,16,0.941,16,0.882,15,3
1202,17,slc4118_chr1,1,0,0,0.8,0.2,0.882,15,0.882,15,0.765,13,6
1203,17,slc403_chrX,NULL,NULL,NULL,1,0,0.941,16,0.882,15,0.824,14,2
1204,17,slc3974_chr4,1,0,0,1,0,0.824,14,0.882,15,0.706,12,7
1205,17,slc3884_chr4,0.22,0.78,0,1,0,1,17,1,17,1,17,4
1206,17,slc3789_chr5,1,0,0,1,0,0.235,4,0.941,16,0.235,4,4
1207,17,slc3445_chr3,1,0,0,0.18,0.82,1,17,1,17,1,17,1
1208,17,slc3414_chr8,1,0,0,1,0,0.765,13,0.706,12,0.588,10,6
1209,17,slc341_chr10,NULL,NULL,NULL,1,0,0.941,16,0.941,16,0.882,15,4
1210,17,slc3350_chr9,1,0,0,1,0,0.706,12,1,17,0.706,12,5
1211,17,slc3290_chr1,1,0,0,0.71,0.29,0.882,15,0.941,16,0.824,14,5
1212,17,slc3174_chr15,1,0,0,1,0,1,17,0.647,11,0.647,11,2
1213,17,slc3170_chr12,0,1,0,1,0,0.706,12,1,17,0.706,12,4
1214,17,slc3102_chr14,1,0,0,0.83,0.17,0.941,16,1,17,0.941,16,1
1215,17,slc3013_chr14,1,0,0,1,0,0.529,9,0.882,15,0.529,9,3
1216,17,slc2970_chr14,1,0,0,NULL,NULL,0,0,0,0,0,0,0
1217,17,slc2942_chr1,0,1,0,1,0,1,17,0.588,10,0.588,10,3
1218,17,slc2939_chr19,0.83,0.17,0,0.88,0.12,0.588,10,0.824,14,0.412,7,4
1219,17,slc2915_chr17,0,1,0,0.83,0.17,0.882,15,0.882,15,0.824,14,5
1220,17,slc2790_chr20,1,0,0,1,0,1,17,0.824,14,0.824,14,8
1221,17,slc2768_chr8,NULL,NULL,NULL,0,1,0.824,14,0.941,16,0.765,13,1
1222,17,slc2761_chr20,1,0,0,1,0,1,17,0.824,14,0.824,14,4
1223,17,slc2698_chr8,0,1,0,1,0,0.882,15,0.941,16,0.824,14,4
1224,17,slc2670_chr8,1,0,0,1,0,0.706,12,0.941,16,0.647,11,1
1225,17,slc26_chrM,0.5,0.5,0,0.88,0.12,0.824,14,0.235,4,0.176,3,3
1226,17,slc2571_chr3,1,0,0,1,0,1,17,1,17,1,17,1
1227,17,slc2561_chr20,0,1,0,1,0,1,17,1,17,1,17,4
1228,17,slc2516_chr19,0,1,0,1,0,0.882,15,1,17,0.882,15,1
1229,17,slc2496_chr2,0,1,0,1,0,0.118,2,0.471,8,0.059,1,2
1230,17,slc2408_chrX,1,0,0,0.21,0.79,1,17,1,17,1,17,1
1231,17,slc2394_chr2,NULL,NULL,NULL,1,0,0.882,15,0.941,16,0.824,14,2
1232,17,slc2243_chr5,0,1,0,1,0,0.882,15,0.941,16,0.824,14,4
1233,17,slc2219_chr15,1,0,0,1,0,1,17,0.941,16,0.941,16,2
1234,17,slc2070_chr6,1,0,0,1,0,0.941,16,1,17,0.941,16,2
1235,17,slc1816_chr17,0,1,0,1,0,1,17,0.647,11,0.647,11,3
1236,17,slc1649_chr13,1,0,0,NULL,NULL,1,17,0,0,0,0,0
1237,17,slc1645_chr11,1,0,0,0.88,0.12,1,17,0.824,14,0.824,14,2
1238,17,slc1633_chr8,0,1,0,1,0,1,17,1,17,1,17,3
1239,17,slc1627_chr4,1,0,0,1,0,0,0,0.824,14,0,0,1
1240,17,slc1617_chr13,1,0,0,1,0,0.706,12,0.882,15,0.706,12,1
1241,17,slc1545_chr10,NULL,NULL,NULL,0.5,0.5,0.647,11,0.765,13,0.412,7,6
1242,17,slc1464_chr20,1,0,0,0.9,0.1,0.824,14,1,17,0.824,14,7
1243,17,slc1434_chr13,NULL,NULL,NULL,0,1,0.059,1,0,0,0,0,0
1244,17,slc1397_chr7,0,1,0,1,0,0.941,16,0.412,7,0.353,6,1
1245,17,slc1314_chr19,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
1246,17,slc1307_chr22,1,0,0,1,0,1,17,0.882,15,0.882,15,5
1247,17,slc126_chrX,1,0,0,1,0,0.824,14,1,17,0.824,14,9
1248,17,slc1085_chr9,1,0,0,0.88,0.12,0.882,15,0.706,12,0.647,11,1
1249,17,slc1007_chr8,1,0,0,1,0,0.765,13,1,17,0.765,13,3
1250,16,slc96_chrM,0.25,0.75,0,0.94,0.06,0.688,11,0.562,9,0.375,6,5
1251,16,slc956_chr20,1,0,0,1,0,0.812,13,0.688,11,0.562,9,8
1252,16,slc9045_chr1,1,0,0,1,0,1,16,0.938,15,0.938,15,2
1253,16,slc8615_chr1,1,0,0,1,0,0.812,13,0.938,15,0.75,12,5
1254,16,slc854_chr16,0,0.8,0.2,0.62,0.38,1,16,1,16,1,16,2
1255,16,slc841_chr10,1,0,0,1,0,0.938,15,0.688,11,0.625,10,3
1256,16,slc811_chr20,1,0,0,1,0,1,16,0.938,15,0.938,15,2
1257,16,slc79_chrM,NULL,NULL,NULL,0,1,0.625,10,0.562,9,0.25,4,5
1258,16,slc777_chr6,1,0,0,0.94,0.06,1,16,0.938,15,0.938,15,3
1259,16,slc768_chr6,1,0,0,0.95,0.05,1,16,0.812,13,0.812,13,1
1260,16,slc750_chr4,1,0,0,1,0,1,16,1,16,1,16,3
1261,16,slc718_chr6,1,0,0,1,0,0.625,10,1,16,0.625,10,3
1262,16,slc7045_chr1,1,0,0,1,0,0.938,15,0.812,13,0.812,13,4
1263,16,slc68_chr9,0,1,0,1,0,1,16,0.5,8,0.5,8,5
1264,16,slc614_chr9,1,0,0,1,0,0.938,15,0.938,15,0.875,14,3
1265,16,slc601_chr5,0,1,0,1,0,1,16,1,16,1,16,1
1266,16,slc5988_chr3,0.1,0.9,0.01,0.91,0.09,0.062,1,0.062,1,0,0,1
1267,16,slc5699_chr3,1,0,0,1,0,1,16,0.688,11,0.688,11,5
1268,16,slc549_chr14,1,0,0,1,0,1,16,0.875,14,0.875,14,2
1269,16,slc522_chr16,1,0,0,1,0,0.625,10,0.812,13,0.625,10,4
1270,16,slc4660_chr7,1,0,0,0.33,0.67,0.75,12,0.875,14,0.75,12,5
1271,16,slc4522_chr11,1,0,0,1,0,0.938,15,0.812,13,0.75,12,2
1272,16,slc444_chr20,1,0,0,1,0,0.875,14,0.938,15,0.812,13,3
1273,16,slc4417_chr16,1,0,0,1,0,0.75,12,0.438,7,0.438,7,5
1274,16,slc4388_chr11,0,1,0,1,0,0.938,15,0.875,14,0.812,13,2
1275,16,slc4183_chr14,1,0,0,0.85,0.15,0.688,11,0.688,11,0.5,8,3
1276,16,slc4178_chr12,1,0,0,1,0,1,16,1,16,1,16,5
1277,16,slc4132_chr1,1,0,0,1,0,1,16,0.688,11,0.688,11,5
1278,16,slc4071_chr6,0,1,0,1,0,1,16,1,16,1,16,4
1279,16,slc3999_chr12,0.67,0,0.33,0.67,0.33,1,16,0.875,14,0.875,14,2
1280,16,slc373_chr19,1,0,0,0.91,0.09,0.938,15,0.562,9,0.5,8,3
1281,16,slc3702_chr1,0,1,0,1,0,0.75,12,0.938,15,0.75,12,3
1282,16,slc3682_chr7,1,0,0,1,0,0.688,11,0.875,14,0.562,9,2
1283,16,slc364_chr4,NULL,NULL,NULL,0,1,1,16,1,16,1,16,3
1284,16,slc3568_chr10,1,0,0,1,0,0.938,15,1,16,0.938,15,4
1285,16,slc3557_chr12,1,0,0,1,0,0.875,14,1,16,0.875,14,1
1286,16,slc3478_chr11,0,1,0,1,0,0.812,13,0.75,12,0.562,9,2
1287,16,slc3369_chr7,1,0,0,1,0,0.875,14,0.938,15,0.812,13,2
1288,16,slc3360_chr14,1,0,0,1,0,0.938,15,0.938,15,0.875,14,2
1289,16,slc3253_chr19,NULL,NULL,NULL,1,0,0.062,1,0,0,0,0,0
1290,16,slc3193_chr11,0,1,0,0,1,0,0,0,0,0,0,0
1291,16,slc3080_chr12,1,0,0,1,0,1,16,1,16,1,16,3
1292,16,slc2965_chr19,1,0,0,0.5,0.5,0.938,15,1,16,0.938,15,2
1293,16,slc2910_chr16,1,0,0,1,0,0.938,15,0.688,11,0.625,10,6
1294,16,slc2889_chr16,0,1,0,1,0,1,16,0.938,15,0.938,15,2
1295,16,slc2796_chr11,1,0,0,1,0,1,16,1,16,1,16,1
1296,16,slc2764_chr4,NULL,NULL,NULL,0,1,0.75,12,0,0,0,0,0
1297,16,slc2694_chr6,1,0,0,1,0,0.938,15,0.688,11,0.625,10,1
1298,16,slc2666_chr12,1,0,0,1,0,0.875,14,0.625,10,0.562,9,3
1299,16,slc2665_chr5,0,1,0,0.88,0.12,0.938,15,1,16,0.938,15,2
1300,16,slc2656_chr17,NULL,NULL,NULL,0,1,0,0,0.438,7,0,0,2
1301,16,slc2628_chr16,1,0,0,1,0,0.938,15,0.875,14,0.812,13,1
1302,16,slc2571_chr5,1,0,0,1,0,0.938,15,0.938,15,0.938,15,3
1303,16,slc2456_chr11,1,0,0,0.78,0.22,1,16,0.875,14,0.875,14,4
1304,16,slc2365_chr9,1,0,0,0.82,0.18,0.438,7,0.938,15,0.438,7,1
1305,16,slc2354_chr20,1,0,0,1,0,0.938,15,1,16,0.938,15,4
1306,16,slc2278_chr9,1,0,0,1,0,0.875,14,0.938,15,0.812,13,4
1307,16,slc2072_chr11,1,0,0,1,0,1,16,0.688,11,0.688,11,3
1308,16,slc2010_chr6,1,0,0,1,0,0.688,11,0.938,15,0.625,10,1
1309,16,slc1936_chr7,1,0,0,1,0,0.625,10,0.625,10,0.438,7,7
1310,16,slc1930_chr16,1,0,0,1,0,0.562,9,1,16,0.562,9,2
1311,16,slc19_chr20,1,0,0,1,0,0.375,6,1,16,0.375,6,2
1312,16,slc1901_chr6,NULL,NULL,NULL,0,1,1,16,0,0,0,0,0
1313,16,slc185_chr12,0,1,0,0.99,0.01,0.75,12,0,0,0,0,0
1314,16,slc1846_chr5,NULL,NULL,NULL,1,0,0.75,12,0.625,10,0.438,7,4
1315,16,slc1844_chr13,1,0,0,1,0,0.875,14,1,16,0.875,14,3
1316,16,slc17_chr9,1,0,0,0.89,0.11,0.875,14,1,16,0.875,14,2
1317,16,slc1689_chr11,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
1318,16,slc1678_chr19,0.8,0.2,0,1,0,0.875,14,0.125,2,0.125,2,1
1319,16,slc167_chr2,1,0,0,1,0,1,16,1,16,1,16,2
1320,16,slc1644_chr11,1,0,0,0.86,0.14,1,16,0.875,14,0.875,14,2
1321,16,slc1604_chr6,0,1,0,0.92,0.08,0.875,14,1,16,0.875,14,2
1322,16,slc1601_chrX,1,0,0,1,0,0.812,13,0.875,14,0.688,11,3
1323,16,slc1421_chr18,1,0,0,1,0,0.812,13,1,16,0.812,13,2
1324,16,slc1381_chr4,1,0,0,1,0,0.875,14,0.875,14,0.75,12,5
1325,16,slc1290_chr5,1,0,0,1,0,0.812,13,0.688,11,0.562,9,1
1326,16,slc1274_chrX,0,1,0,1,0,0.375,6,0,0,0,0,0
1327,16,slc1270_chr12,0,1,0,1,0,0.688,11,1,16,0.688,11,2
1328,16,slc1239_chr7,1,0,0,1,0,0.938,15,0.875,14,0.812,13,5
1329,16,slc1204_chr3,1,0,0,1,0,0.938,15,0.938,15,0.938,15,2
1330,16,slc1181_chr9,NULL,NULL,NULL,1,0,1,16,1,16,1,16,2
1331,16,slc115_chr6,1,0,0,0.88,0.12,0.875,14,1,16,0.875,14,1
1332,16,slc10_chr20,1,0,0,1,0,0.938,15,0.938,15,0.875,14,8
1333,16,slc1015_chr19,1,0,0,1,0,0.688,11,0.875,14,0.562,9,1
1334,15,slc8948_chr1,1,0,0,1,0,1,15,0.533,8,0.533,8,4
1335,15,slc876_chr16,1,0,0,0.88,0.12,0.8,12,0.867,13,0.8,12,6
1336,15,slc872_chr14,1,0,0,0.88,0.12,1,15,1,15,1,15,1
1337,15,slc866_chr16,0,1,0,1,0,1,15,0.933,14,0.933,14,5
1338,15,slc8543_chr1,1,0,0,0.75,0.25,0.933,14,0.867,13,0.867,13,4
1339,15,slc84_chrM,0.53,0.47,0,0.25,0.75,0.933,14,0.067,1,0.067,1,1
1340,15,slc804_chr3,0,1,0,1,0,1,15,0.933,14,0.933,14,1
1341,15,slc799_chr8,1,0,0,1,0,0.8,12,0.867,13,0.667,10,3
1342,15,slc790_chr9,NULL,NULL,NULL,0,1,0.733,11,0.333,5,0.267,4,1
1343,15,slc701_chr5,1,0,0,1,0,0.933,14,1,15,0.933,14,2
1344,15,slc69_chr13,NULL,NULL,NULL,0,1,0.533,8,0,0,0,0,0
1345,15,slc6696_chr2,NULL,NULL,NULL,1,0,0.8,12,0.867,13,0.667,10,1
1346,15,slc665_chrX,1,0,0,1,0,0.933,14,0.867,13,0.8,12,1
1347,15,slc612_chr17,0,1,0,1,0,0.867,13,0.8,12,0.733,11,2
1348,15,slc5791_chr17,0.12,0.88,0,1,0,1,15,0.067,1,0.067,1,1
1349,15,slc5770_chr17,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
1350,15,slc5336_chr12,1,0,0,1,0,0.867,13,0.933,14,0.8,12,5
1351,15,slc5314_chr12,1,0,0,1,0,0.667,10,0.867,13,0.533,8,4
1352,15,slc5199_chr17,0.17,0.83,0,1,0,0.867,13,1,15,0.867,13,3
1353,15,slc5084_chr2,0,0,1,0.09,0.91,0.933,14,0.8,12,0.8,12,1
1354,15,slc4949_chr12,1,0,0,1,0,0.8,12,0.8,12,0.6,9,1
1355,15,slc49_chrM,NULL,NULL,NULL,0.73,0.27,0.8,12,0.6,9,0.533,8,5
1356,15,slc4718_chr7,NULL,NULL,NULL,0,1,0.733,11,0.933,14,0.667,10,3
1357,15,slc4670_chr19,1,0,0,1,0,0.867,13,0.133,2,0.133,2,2
1358,15,slc4625_chr17,1,0,0,1,0,0.867,13,0.933,14,0.8,12,2
1359,15,slc449_chr21,1,0,0,0.88,0.12,0.733,11,0.8,12,0.533,8,3
1360,15,slc4391_chr8,NULL,NULL,NULL,1,0,0.933,14,1,15,0.933,14,2
1361,15,slc4379_chr19,1,0,0,1,0,0.933,14,0.933,14,0.867,13,5
1362,15,slc4357_chr7,1,0,0,1,0,0.867,13,1,15,0.867,13,1
1363,15,slc4351_chr5,1,0,0,1,0,0.667,10,0.2,3,0,0,2
1364,15,slc4282_chr3,1,0,0,1,0,0.867,13,0.867,13,0.733,11,2
1365,15,slc4187_chr1,0,0,1,0.33,0.67,0.533,8,1,15,0.533,8,4
1366,15,slc4116_chr12,1,0,0,0.83,0.17,0.8,12,0.933,14,0.733,11,3
1367,15,slc4114_chr1,1,0,0,0.83,0.17,0.933,14,0.867,13,0.8,12,5
1368,15,slc4061_chr12,1,0,0,0.86,0.14,0.867,13,0.933,14,0.8,12,1
1369,15,slc402_chr15,1,0,0,1,0,1,15,0.867,13,0.867,13,5
1370,15,slc3991_chr6,1,0,0,1,0,0.867,13,1,15,0.867,13,2
1371,15,slc3970_chr14,NULL,NULL,NULL,0,1,1,15,0,0,0,0,0
1372,15,slc3941_chr14,NULL,NULL,NULL,0,1,0.2,3,0.6,9,0,0,4
1373,15,slc39_chrM,0,0.68,0.32,0.83,0.17,0.933,14,0.267,4,0.267,4,4
1374,15,slc3860_chr5,1,0,0,1,0,0.667,10,1,15,0.667,10,1
1375,15,slc3769_chr8,1,0,0,1,0,0.933,14,0.8,12,0.8,12,4
1376,15,slc3768_chr8,1,0,0,1,0,0.933,14,0.933,14,0.867,13,2
1377,15,slc3763_chr10,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
1378,15,slc37_chrM,NULL,NULL,NULL,0.71,0.29,0.8,12,0.267,4,0.133,2,3
1379,15,slc3708_chr10,0,1,0,1,0,0.867,13,0.867,13,0.733,11,4
1380,15,slc3699_chr8,0,1,0,0.82,0.18,0.933,14,0.867,13,0.8,12,4
1381,15,slc3676_chr10,1,0,0,1,0,0.933,14,0.933,14,0.867,13,1
1382,15,slc3541_chr19,NULL,NULL,NULL,0.07,0.93,0.867,13,0.067,1,0.067,1,1
1383,15,slc3491_chr4,1,0,0,0.5,0.5,1,15,0.867,13,0.867,13,3
1384,15,slc339_chr12,1,0,0,0.83,0.17,1,15,0.933,14,0.933,14,2
1385,15,slc3358_chr1,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
1386,15,slc3346_chr3,1,0,0,1,0,0.933,14,1,15,0.933,14,5
1387,15,slc3345_chr3,1,0,0,1,0,0.8,12,0.867,13,0.667,10,5
1388,15,slc3322_chr12,0,1,0,1,0,0.933,14,0.867,13,0.8,12,2
1389,15,slc3313_chr12,1,0,0,1,0,0.867,13,1,15,0.867,13,2
1390,15,slc3303_chr14,1,0,0,0.67,0.33,0.933,14,0.6,9,0.533,8,2
1391,15,slc3287_chr10,0,1,0,1,0,0.933,14,0.667,10,0.6,9,5
1392,15,slc3215_chr3,1,0,0,1,0,0.667,10,1,15,0.667,10,5
1393,15,slc3190_chr7,0,0,1,1,0,0.8,12,0.8,12,0.667,10,5
1394,15,slc3170_chr14,1,0,0,0.86,0.14,0.6,9,0.733,11,0.467,7,6
1395,15,slc3164_chr15,0,1,0,0.25,0.75,0.867,13,1,15,0.867,13,2
1396,15,slc3120_chr6,1,0,0,1,0,0.867,13,0.8,12,0.733,11,5
1397,15,slc2957_chr1,1,0,0,1,0,0.933,14,0.8,12,0.733,11,6
1398,15,slc2921_chr3,NULL,NULL,NULL,0,1,0.4,6,0,0,0,0,0
1399,15,slc2910_chr17,0,1,0,0.83,0.17,0.933,14,0.933,14,0.867,13,6
1400,15,slc2904_chr16,1,0,0,1,0,0.933,14,0.933,14,0.867,13,4
1401,15,slc2885_chr9,1,0,0,1,0,0.733,11,0.933,14,0.733,11,2
1402,15,slc2864_chr14,NULL,NULL,NULL,0,1,1,15,0,0,0,0,0
1403,15,slc2854_chr14,1,0,0,0.83,0.17,0.933,14,0.6,9,0.533,8,2
1404,15,slc2773_chr5,1,0,0,1,0,0.467,7,0.867,13,0.4,6,4
1405,15,slc277_chr3,1,0,0,0.8,0.2,0.733,11,0.867,13,0.6,9,4
1406,15,slc275_chr10,1,0,0,0.35,0.65,1,15,1,15,1,15,3
1407,15,slc2731_chr15,0,0.8,0.2,1,0,1,15,0.933,14,0.933,14,3
1408,15,slc27_chr13,0,1,0,1,0,1,15,1,15,1,15,1
1409,15,slc2621_chr15,0.19,0.81,0,1,0,0.8,12,0.867,13,0.733,11,5
1410,15,slc2563_chr14,0,1,0,1,0,0.8,12,0.4,6,0.333,5,2
1411,15,slc2467_chr12,1,0,0,1,0,0.933,14,0.533,8,0.467,7,4
1412,15,slc2359_chr1,1,0,0,1,0,0.933,14,1,15,0.933,14,3
1413,15,slc228_chr22,1,0,0,1,0,1,15,0,0,0,0,0
1414,15,slc2208_chr7,1,0,0,1,0,1,15,0.933,14,0.933,14,1
1415,15,slc2113_chr16,1,0,0,1,0,0.733,11,0.933,14,0.667,10,3
1416,15,slc2020_chrX,NULL,NULL,NULL,0,1,0.933,14,0.867,13,0.8,12,1
1417,15,slc2017_chr8,0,0,1,0.75,0.25,0.8,12,1,15,0.8,12,4
1418,15,slc1966_chrX,1,0,0,1,0,0.733,11,0.867,13,0.667,10,2
1419,15,slc1920_chr7,1,0,0,1,0,0.867,13,0.867,13,0.733,11,1
1420,15,slc1800_chr2,1,0,0,1,0,1,15,0.933,14,0.933,14,6
1421,15,slc1774_chr16,1,0,0,1,0,1,15,1,15,1,15,3
1422,15,slc1672_chr10,1,0,0,1,0,1,15,0.933,14,0.933,14,3
1423,15,slc1591_chr19,0,0,1,0,1,0.667,10,0,0,0,0,0
1424,15,slc1575_chr16,1,0,0,1,0,1,15,0.933,14,0.933,14,3
1425,15,slc157_chr22,1,0,0,0.73,0.27,0.867,13,0.867,13,0.8,12,5
1426,15,slc1490_chr13,1,0,0,1,0,0.933,14,0.867,13,0.8,12,4
1427,15,slc1478_chr4,1,0,0,1,0,0.733,11,1,15,0.733,11,2
1428,15,slc1478_chr2,0,1,0,0.82,0.18,1,15,0.933,14,0.933,14,2
1429,15,slc1266_chr20,1,0,0,0.5,0.5,0.867,13,0.867,13,0.8,12,2
1430,15,slc1116_chr19,NULL,NULL,NULL,0,1,1,15,0.8,12,0.8,12,4
1431,15,slc1113_chr8,1,0,0,1,0,0.533,8,0.933,14,0.467,7,1
1432,15,slc1078_chr8,1,0,0,1,0,0.733,11,0.267,4,0.133,2,2
1433,15,slc101_chr21,1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
1434,14,slc977_chr2,1,0,0,1,0,0.857,12,1,14,0.857,12,1
1435,14,slc950_chr17,1,0,0,0.82,0.18,0.857,12,0.857,12,0.714,10,1
1436,14,slc8995_chr1,1,0,0,1,0,1,14,0.786,11,0.786,11,2
1437,14,slc8905_chr1,0,1,0,0.97,0.03,0.857,12,0.786,11,0.786,11,5
1438,14,slc8494_chr1,1,0,0,1,0,0.929,13,0.857,12,0.786,11,2
